Country,Year of Independence,Colonizer
"Liberia, Republic of",26/07/1847,United States
"South Africa, Republic of",31/05/1910,Britain
The Arab Republic of Egypt,28/02/1922,Britain
"Ethiopia, People's Democratic Republic of",05/05/1941,Italy
Libya (Socialist People's Libyan Arab Jamahiriya),24/12/1951,Britain
"Sudan, Democratic Republic of",01/01/1956,Britain/Egypt
"Morocco, Kingdom of",02/03/1956,France
"Tunisia, Republic of",20/03/1956,France
"Morocco (Spanish Northern Zone, Marruecos)",07/04/1956,Spain
"Morocco (International Zone, Tangiers)",29/10/1956,-
"Ghana, Republic of",06/03/1957,Britain
"Morocco (Spanish Southern Zone, Marruecos)",27/04/1958,Spain
"Guinea, Republic of",02/10/1958,France
"Cameroon, Republic of",01/01/1960,France
"Senegal, Republic of",04/04/1960,France
"Togo, Republic of",27/04/1960,France
"Mali, Republic of",22/09/1960,France
"Madagascar, Democratic Republic of",26/06/1960,France
"Congo (Kinshasa), Democratic Republic of the",30/06/1960,Belgium
"Somalia, Democratic Republic of",01/07/1960,Britain
"Benin, Republic of",01/08/1960,France
"Niger, Republic of",03/08/1960,France
"Burkina Faso, Popular Democratic Republic of",05/08/1960,France
"Côte d'Ivoire, Republic of (Ivory Coast)",07/08/1960,France
"Chad, Republic of",11/08/1960,France
Central African Republic,13/08/1960,France
"Congo (Brazzaville), Republic of the",15/08/1960,France
"Gabon, Republic of",16/08/1960,France
"Nigeria, Federal Republic of",01/10/1960,Britain
"Mauritania, Islamic Republic of",28/11/1960,France
"Sierra Leone, Republic of",27/04/1961,Britain
Nigeria (British Cameroon North),01/06/1961,Britain
Cameroon(British Cameroon South),01/10/1961,Britain
"Tanzania, United Republic of",09/12/1961,Britain
"Burundi, Republic of",01/07/1962,Belgium
"Rwanda, Republic of",01/07/1962,Belgium
"Algeria, Democratic and Popular Republic of",03/07/1962,France
"Uganda, Republic of",09/10/1962,Britain
"Kenya, Republic of",12/12/1963,Britain
"Malawi, Republic of",06/07/1964,Britain
"Zambia, Republic of",24/10/1964,Britain
"Gambia, Republic of The",18/02/1965,Britain
"Botswana, Republic of",30/09/1966,Britain
"Lesotho, Kingdom of",04/10/1966,Britain
"Mauritius, State of",12/03/1968,Britain
"Swaziland, Kingdom of",06/09/1968,Britain
"Equatorial Guinea, Republic of",12/10/1968,Spain
Morocco (Ifni),30/06/1969,Spain
"Guinea-Bissau, Republic of",24/09/1973,Portugal
"Mozambique, Republic of",25/06/1975,Portugal
"Cape Verde, Republic of",05/07/1975,Portugal
"Comoros, Federal Islamic Republic of the",06/07/1975,France
"São Tomé and Principe, Democratic Republic of",12/07/1975,Portugal
"Angola, People's Republic of",11/11/1975,Portugal
Western Sahara,28/02/1976,Spain
"Seychelles, Republic of",29/06/1976,Britain
"Djibouti, Republic of",27/06/1977,France
"Zimbabwe, Republic of",18/04/1980,Britain
"Namibia, Republic of",21/03/1990,South Africa
"Eritrea, State of",24/05/1993,Ethiopia
"South Sudan, Republic of",09/07/2011,Republic of the Sudan